Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,Instructor,Capacity,Room,Mtg Start,Mtg End,Days,Start Date,End Date,Term,Campus,Class Nbr,Total Credits,DUP,FULL,OVER
MTH, 266,DR40,DED,1,3,3,0,28,"Tessier,Paul Edward",30,TUAL,5:30:00 PM,6:45:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24606,0,,,
MTH, 267,D01,DED,1,3,3,12,28,"Indika,S H Sathish",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23659,36,,,
NAS, 206,01H,LEC,1,3,3,5,10,"Evans,Ann S",20,416,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23889,15,,,
NAS, 206,50H,LEC,1,3,3,4,10,"Weygand,Dennis P",20,416,7:00:00 PM,9:40:00 PM,T,1/9/2023,5/6/2023,2232,MAIN,24500,12,,,
NAS, 206,B01H,LEC,8W2,3,3,4,10,"LeMay,Lynsey Ellis",24,422,9:00:00 AM,12:15:00 PM,W,3/13/2023,5/6/2023,2232,MAIN,54315,12,,,
NAS, 206,DR01,DED,1,3,3,10,10,"Song,Pengfei",30,TUAL,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,24446,30,,FULL,
PHY, 100,01H,LEC,1,4,4,0,0,"Staff,Tba",24,309,8:00:00 AM,9:15:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,36226,0,,FULL,
PHY, 100,20HL,LAB,1,0,0,0,0,"Staff,Tba",24,400,8:00:00 AM,9:15:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,36227,0,,FULL,
PHY, 100,D01,DED,1,4,4,11,24,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,36228,44,,,
PHY, 100,D01L,LAB,1,4,0,11,24,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,36229,0,,,
PHY, 141,50W,LEC,1,4,4,7,24,"Anderson Jr.,William Michael",24,326,5:30:00 PM,6:45:00 PM,TR,1/9/2023,5/6/2023,2232,HT,23955,28,,,
PHY, 141,50WL,LAB,1,0,0,7,24,"Anderson Jr.,William Michael",24,236,7:00:00 PM,9:40:00 PM,R,1/9/2023,5/6/2023,2232,HT,23956,0,,,
PHY, 141,D01,DED,1,4,4,24,24,"Anderson Jr.,William Michael",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24270,96,,FULL,
PHY, 141,D01L,LAB,1,4,0,24,24,"Anderson Jr.,William Michael",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24271,0,,FULL,
PHY, 142,D01,DED,1,4,4,16,24,"Vandenheuvel,Andrew D",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24192,64,,,
PHY, 142,D01L,LAB,1,4,0,16,24,"Vandenheuvel,Andrew D",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24193,0,,,
PHY, 201,40H,LEC,1,4,4,3,24,"Staff,Tba",24,422,5:30:00 PM,6:45:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,54637,12,,,
PHY, 201,40HL,LAB,1,0,0,3,24,"Staff,Tba",24,400,7:00:00 PM,9:40:00 PM,W,1/9/2023,5/6/2023,2232,MAIN,54638,0,,,
PHY, 201,D01,DED,1,4,4,21,24,"Michaels,Robert Williams",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24274,84,,,
PHY, 201,D01L,LAB,1,4,0,21,24,"Michaels,Robert Williams",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24275,0,,,
PHY, 202,01W,LEC,1,4,4,0,0,"Staff,Tba",24,326,2:00:00 PM,3:15:00 PM,MW,1/9/2023,5/6/2023,2232,HT,24458,0,,FULL,
